Bus,busmap
ES95-220,ES0 112
ES97-400,ES0 38
ES98-220,ES0 236
ES99-220,ES0 176
relation/15715982-400,ES0 41
relation/16809528-400,ES0 255
relation/17148268-400,ES0 19
relation/17319555-220,ES0 220
relation/17444204-400,ES0 207
relation/17678185-220,ES0 56
relation/17805735-220,ES0 269
way/101078312-220,ES0 9
way/101953901-400,ES0 99
way/1028926498-400,ES0 148
way/103158873-400,ES0 236
way/103190094-220,ES0 89
way/103511952-400,ES0 54
way/104020696-400,ES0 34
way/104026138-220,ES0 152
way/104370242-400,ES0 55
way/104730022-220,ES0 236
way/105259481-400,ES0 206
way/110506713-220,ES0 244
way/111584995-220,ES0 162
way/1141933143-400,ES0 259
way/1153834517-400,ES0 268
way/1154224087-225,ES0 67
way/115680075-400,ES0 209
way/118057369-400,ES0 73
way/118641117-220,ES0 14
way/1218840771-400,ES0 118
way/1232240349-220,ES0 40
way/124121964-400,ES0 256
way/1243143644-220,ES0 42
way/1245390527-220,ES0 176
way/1246090890-220,ES0 96
way/1246115410-400,ES0 133
way/1252105002-220,ES0 44
way/1252514183-220,ES0 215
way/1255236015-220,ES0 35
way/1257151190-220,ES0 244
way/126100935-220,ES0 256
way/1262644008-220,ES0 46
way/1262722032-400,ES0 181
way/1262722037-220,ES0 181
way/1262731213-400,ES0 181
way/1266061515-220,ES0 212
way/1266081844-400,ES0 21
way/1266109989-400,ES0 230
way/1267694217-400,ES0 98
way/1267909080-220,ES0 128
way/126881765-400,ES0 7
way/126987023-400,ES0 12
way/1273759380-220,ES0 257
way/127528728-220,ES0 113
way/1275359449-220,ES0 156
way/127605081-220,ES0 45
way/1277630152-400,ES0 86
way/127787669-400,ES0 93
way/128873801-220,ES0 194
way/129441519-400,ES0 199
way/129767234-400,ES0 216
way/134884956-400,ES0 41
way/140011919-400,ES0 124
way/140781473-220,ES0 65
way/143207685-400,ES0 214
way/143207686-220,ES0 214
way/143483652-220,ES0 186
way/143483653-220,ES0 229
way/143483666-400,ES0 186
way/144138407-220,ES0 261
way/144138410-220,ES0 261
way/144138420-400,ES0 211
way/144156731-220,ES0 112
way/144297377-220,ES0 203
way/144297424-220,ES0 186
way/144297438-220,ES0 118
way/144306676-220,ES0 184
way/144312477-220,ES0 5
way/144312479-220,ES0 231
way/144327151-220,ES0 157
way/144327157-400,ES0 149
way/144487932-400,ES0 196
way/144767090-400,ES0 84
way/144767096-400,ES0 51
way/144787749-400,ES0 119
way/144812118-220,ES0 119
way/144813618-220,ES0 241
way/144827711-220,ES0 16
way/144909709-400,ES0 153
way/144909722-400,ES0 132
way/144909723-400,ES0 194
way/144915428-400,ES0 194
way/144915438-400,ES0 194
way/144922719-220,ES0 57
way/144926472-220,ES0 238
way/144931782-400,ES0 49
way/144933376-400,ES0 260
way/144941889-400,ES0 0
way/144942113-400,ES0 126
way/145171008-400,ES0 94
way/145302700-400,ES0 23
way/145302702-220,ES0 127
way/145316518-220,ES0 23
way/145326592-220,ES0 142
